Entry	Entry name	Gene names	Ensembl transcript
O96009	NAPSA_HUMAN	NAPSA NAP1 NAPA	ENST00000253719;
Q8NEY1	NAV1_HUMAN	NAV1 KIAA1151 KIAA1213 POMFIL3 STEERIN1	ENST00000367295 [Q8NEY1-5];ENST00000367296 [Q8NEY1-1];
A0A0U1RRE5	NBDY_HUMAN	NBDY LINC01420	ENST00000374922;ENST00000423617;ENST00000637096;
P52298	NCBP2_HUMAN	NCBP2 CBP20 PIG55	ENST00000321256 [P52298-1];ENST00000427641 [P52298-3];ENST00000452404 [P52298-2];
Q9HCH0	NCK5L_HUMAN	NCKAP5L CEP169 KIAA1602 FP1193	ENST00000335999;
Q13562	NDF1_HUMAN	NEUROD1 BHLHA3 NEUROD	ENST00000295108;
Q9Y5B8	NDK7_HUMAN	NME7	ENST00000367811 [Q9Y5B8-1];ENST00000472647 [Q9Y5B8-2];
Q9NX14	NDUBB_HUMAN	NDUFB11 UNQ111/PRO1064	ENST00000276062 [Q9NX14-2];ENST00000377811 [Q9NX14-1];
P28331	NDUS1_HUMAN	NDUFS1	ENST00000233190 [P28331-1];ENST00000423725 [P28331-4];ENST00000432169 [P28331-3];ENST00000440274 [P28331-5];ENST00000449699 [P28331-1];ENST00000455934 [P28331-2];ENST00000635748 [P28331-1];ENST00000636505 [P28331-1];ENST00000637298 [P28331-4];ENST00000637631 [P28331-3];ENST00000637733 [P28331-2];ENST00000637990 [P28331-5];
Q7Z6G3	NECA2_HUMAN	NECAB2 EFCBP2	ENST00000305202 [Q7Z6G3-1];ENST00000565691 [Q7Z6G3-2];
Q92692	NECT2_HUMAN	NECTIN2 HVEB PRR2 PVRL2	ENST00000252483 [Q92692-1];ENST00000252485 [Q92692-2];
Q96PU5	NED4L_HUMAN	NEDD4L KIAA0439 NEDL3	ENST00000256830 [Q96PU5-3];ENST00000356462 [Q96PU5-2];ENST00000357895 [Q96PU5-7];ENST00000382850 [Q96PU5-5];ENST00000400345 [Q96PU5-1];ENST00000431212 [Q96PU5-4];ENST00000435432 [Q96PU5-9];ENST00000456173 [Q96PU5-9];ENST00000456986 [Q96PU5-4];ENST00000586263 [Q96PU5-6];
P46934	NEDD4_HUMAN	NEDD4 KIAA0093 NEDD4-1 PIG53	ENST00000338963 [P46934-3];ENST00000435532 [P46934-4];ENST00000506154 [P46934-2];ENST00000508342 [P46934-1];
Q8TD19	NEK9_HUMAN	NEK9 KIAA1995 NEK8 NERCC	ENST00000238616;
Q92832	NELL1_HUMAN	NELL1 NRP1	ENST00000357134 [Q92832-1];ENST00000532434 [Q92832-2];
Q92859	NEO1_HUMAN	NEO1 IGDCC2 NGN	ENST00000261908 [Q92859-1];ENST00000339362 [Q92859-1];ENST00000558964 [Q92859-4];ENST00000560262 [Q92859-3];
Q14494	NF2L1_HUMAN	NFE2L1 HBZ17 NRF1 TCF11	ENST00000357480 [Q14494-2];ENST00000362042 [Q14494-1];ENST00000585291 [Q14494-2];
